Epoch,Discriminator_Loss,Generator_Loss,Batch_Size,LR,Beta1,ngf,ndf,nz
1,0.8749596192452052,5.097769638029127,128,0.0002,0.5,64,64,100
2,0.7785213283419355,3.7534088402543606,128,0.0002,0.5,64,64,100
3,0.7831776600860992,3.539717884326943,128,0.0002,0.5,64,64,100
4,0.8013841655350541,3.2916416637204002,128,0.0002,0.5,64,64,100
5,0.8159197123440461,3.089559268989381,128,0.0002,0.5,64,64,100
6,0.849352444433103,2.845066147878165,128,0.0002,0.5,64,64,100
7,0.8647924594565308,2.5989297563862648,128,0.0002,0.5,64,64,100
8,0.8904995218457183,2.3581915593957192,128,0.0002,0.5,64,64,100
9,0.9046106458722659,2.252529913516055,128,0.0002,0.5,64,64,100
10,0.9088559026677644,2.2085886448305376,128,0.0002,0.5,64,64,100
11,0.9103972580275971,2.1890496945684883,128,0.0002,0.5,64,64,100
12,0.8982343247235454,2.1942021363353525,128,0.0002,0.5,64,64,100
13,0.9202986416543365,2.1985902779927424,128,0.0002,0.5,64,64,100
14,0.937136449631612,2.208431878793518,128,0.0002,0.5,64,64,100
15,0.8809518014296351,2.1868723347435077,128,0.0002,0.5,64,64,100
16,0.8978736487923155,2.250521501474826,128,0.0002,0.5,64,64,100
17,0.896475398363328,2.2246763886539798,128,0.0002,0.5,64,64,100
18,0.8345744145397421,2.2539069189387524,128,0.0002,0.5,64,64,100
19,0.852722477887593,2.277693602752787,128,0.0002,0.5,64,64,100
20,0.8389325756935557,2.306666176663336,128,0.0002,0.5,64,64,100
21,0.8435257730210662,2.3756997310052252,128,0.0002,0.5,64,64,100
22,0.8315258615842037,2.3760130619294073,128,0.0002,0.5,64,64,100
23,0.8143415949653415,2.3423455957394497,128,0.0002,0.5,64,64,100
24,0.8276301512292995,2.36167691967543,128,0.0002,0.5,64,64,100
25,0.777445816310348,2.4242485163065024,128,0.0002,0.5,64,64,100
26,0.7581748964933327,2.4820631483051683,128,0.0002,0.5,64,64,100
27,0.7803030674624595,2.502560336308874,128,0.0002,0.5,64,64,100
28,0.7312976206690389,2.5794971777628435,128,0.0002,0.5,64,64,100
29,0.7932821149026259,2.5539113862119662,128,0.0002,0.5,64,64,100
30,0.7520848246263597,2.5524004154271127,128,0.0002,0.5,64,64,100
31,0.7459929058379682,2.6073451997621295,128,0.0002,0.5,64,64,100
32,0.6840708734756316,2.6895603589444654,128,0.0002,0.5,64,64,100
33,0.7454083297409576,2.6355860855295905,128,0.0002,0.5,64,64,100
34,0.7077211316224117,2.684105420694736,128,0.0002,0.5,64,64,100
35,0.6845352878742663,2.744666933950092,128,0.0002,0.5,64,64,100
36,0.7061384589808761,2.819456893294227,128,0.0002,0.5,64,64,100
37,0.660288610023045,2.84443114175918,128,0.0002,0.5,64,64,100
38,0.6110178854182015,2.922836386727173,128,0.0002,0.5,64,64,100
39,0.6678116868256004,2.9163490192146058,128,0.0002,0.5,64,64,100
40,0.7076937916299088,2.8695295492934574,128,0.0002,0.5,64,64,100
41,0.5808573954297732,3.044093939655652,128,0.0002,0.5,64,64,100
42,0.6717825461724761,3.0499089415286,128,0.0002,0.5,64,64,100
43,0.6247241280640766,3.0403020760942163,128,0.0002,0.5,64,64,100
44,0.6257857822055776,3.0644325271027357,128,0.0002,0.5,64,64,100
45,0.7473070308914104,2.8819686924829098,128,0.0002,0.5,64,64,100
46,0.6592836892528898,2.980354737893791,128,0.0002,0.5,64,64,100
47,0.5574554945886009,3.1711916223706207,128,0.0002,0.5,64,64,100
48,0.563170495053512,3.2077398106550716,128,0.0002,0.5,64,64,100
49,0.6680460088192277,3.1135088015513817,128,0.0002,0.5,64,64,100
50,0.5096243097903622,3.321887060841684,128,0.0002,0.5,64,64,100
